generation,gender,fav_animals,fav_place,edu_level,Cluster
Gen X,Mężczyzna,Brak ulubionych,Nad wodą,Wyższe,Cluster 2
Gen X,Mężczyzna,Inne,W lesie,Wyższe,Cluster 3
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Inne,W górach,Średnie,Cluster 3
Gen Z,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Nieznane,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Inne,Wyższe,Cluster 0
Gen X,Kobieta,Psy,,Wyższe,Cluster 2
Gen X,Mężczyzna,Inne,Nad wodą,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Brak ulubionych,W lesie,Wyższe,Cluster 1
Gen Z,Mężczyzna,Psy,W górach,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Koty,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Inne,W górach,Wyższe,Cluster 3
Boomersi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Gen X,Kobieta,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Kobieta,Psy,Nad wodą,Wyższe,Cluster 1
Gen Z,Mężczyzna,Inne,W górach,Średnie,Cluster 3
Gen X,Mężczyzna,Koty,W lesie,Średnie,Cluster 2
Millennialsi,Mężczyzna,Psy,,Wyższe,Cluster 1
Gen X,Mężczyzna,Inne,W górach,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Koty,W górach,Średnie,Cluster 1
Gen X,Kobieta,Psy,W lesie,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Koty,,Wyższe,Cluster 2
Millennialsi,Kobieta,Brak ulubionych,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W lesie,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Inne,W górach,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Koty,,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W górach,Średnie,Cluster 1
Boomersi,Mężczyzna,Inne,,Wyższe,Cluster 3
Boomersi,Mężczyzna,Koty,Nad wodą,Wyższe,Cluster 2
Millennialsi,Kobieta,Koty i Psy,W górach,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Brak ulubionych,W lesie,Wyższe,Cluster 2
Gen Z,Kobieta,Koty,W górach,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Koty,,Średnie,Cluster 1
Millennialsi,Kobieta,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Gen X,Kobieta,Koty,W lesie,Wyższe,Cluster 2
Millennialsi,Kobieta,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Kobieta,Brak ulubionych,W górach,Średnie,Cluster 1
Gen X,Mężczyzna,Koty,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,Nad wodą,Wyższe,Cluster 1
Gen Z,Mężczyzna,Koty,W lesie,Średnie,Cluster 1
Boomersi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Boomersi,Kobieta,Brak ulubionych,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Inne,Nad wodą,Średnie,Cluster 3
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Inne,W górach,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Inne,W lesie,Wyższe,Cluster 3
Gen X,Kobieta,Koty,,Średnie,Cluster 2
Gen X,Mężczyzna,Koty,W górach,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Gen X,Kobieta,Koty,,Wyższe,Cluster 2
Gen Z,Mężczyzna,Inne,,Wyższe,Cluster 3
Gen X,Mężczyzna,Psy,,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Kobieta,Inne,Nad wodą,Wyższe,Cluster 3
Gen X,Mężczyzna,Koty,Nad wodą,Wyższe,Cluster 2
Millennialsi,Kobieta,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Boomersi,Mężczyzna,Koty,W lesie,Wyższe,Cluster 2
Nieznane,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Kobieta,Koty,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Gen Z,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 1
Gen X,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Brak ulubionych,W górach,Średnie,Cluster 2
Nieznane,Mężczyzna,Psy,,Średnie,Cluster 2
Gen X,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Brak ulubionych,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Gen X,Kobieta,Psy,,Wyższe,Cluster 2
Gen X,Mężczyzna,Koty i Psy,Nad wodą,Wyższe,Cluster 3
Gen X,Mężczyzna,Koty,W górach,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Gen X,Kobieta,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Kobieta,Inne,Nad wodą,Wyższe,Cluster 3
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Boomersi,Mężczyzna,Inne,,Wyższe,Cluster 3
Gen X,Kobieta,Psy,W górach,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,Nad wodą,Wyższe,Cluster 1
Gen X,Kobieta,Psy,W górach,Wyższe,Cluster 2
Millennialsi,Kobieta,Inne,,Wyższe,Cluster 3
Millennialsi,Kobieta,Koty,Inne,Wyższe,Cluster 0
Gen X,Mężczyzna,Inne,W lesie,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Koty,Nad wodą,Wyższe,Cluster 2
